Time(s),position(rad)_axis_1,position(rad)_axis_2,position(rad)_axis_3,position(rad)_axis_4,position(rad)_axis_5,position(rad)_axis_6
0,0,0,0,0,0,0
0.03333,0,0,0,0,0,0
0.06666,0,0,0,0,0,0
0.09999,0,0,0,0,0,0
0.13332,0,0,0,0,0,0
0.16665,0,0,0,0,0,0
0.19998,0,0,0,0,0,0
0.23331,0,0,0,0,0,0
0.26664,0,0,0,0,0,0
0.29997,0,0,0,0,0,0
0.3333,0,0,0,0,0,0
0.36663,0,0,0,0,0,0
0.39996,0,0,0,0,0,0
0.43329,0,0,0,0,0,0
0.46662,0,0,0,0,0,0
0.49995,0,0,0,0,0,0
0.53328,0,0,0,0,0,0
0.56661,0,0,0,0,0,0
0.59994,0,0,0,0,0,0
0.63327,0,0,0,0,0,0
0.6666,0,0,0,0,0,0
0.69993,0,0,0,0,0,0
0.73326,0,0,0,0,0,0
0.76659,0,0,0,0,0,0
0.79992,0,0,0,0,0,0
0.83325,0,0,0,0,0,0
0.86658,0,0,0,0,0,0
0.89991,0,0,0,0,0,0
0.93324,0,0,0,0,0,0
0.96657,0,0,0,0,0,0
0.9999,0,0,0,0,0,0
1.03323,0,0,0,0,0,0
1.06656,0,0,0,0,0,0
1.09989,0,0,0,0,0,0
1.13322,0,0,0,0,0,0
1.16655,0,0,0,0,0,0
1.19988,0,0,0,0,0,0
1.23321,0,0,0,0,0,0
1.26654,0,0,0,0,0,0
1.29987,0,0,0,0,0,0
1.3332,0,0,0,0,0,0
1.36653,0,0,0,0,0,0
1.39986,0,0,0,0,0,0
1.43319,0,0,0,0,0,0
1.46652,0,0,0,0,0,0
1.49985,0,0,0,0,0,0
1.53318,0,0,0,0,0,0
1.56651,0,0,0,0,0,0
1.59984,0,0,0,0,0,0
1.63317,0,0,0,0,0,0
1.6665,0,0,0,0,0,0
1.69983,0,0,0,0,0,0
1.73316,0,0,0,0,0,0
1.76649,0,0,0,0,0,0
1.79982,0,0,0,0,0,0
1.83315,0,0,0,0,0,0
1.86648,0,0,0,0,0,0
1.89981,0,0,0,0,0,0
1.93314,0,0,0,0,0,0
1.96647,0,0,0,0,0,0
1.9998,0,0,0,0,0,0
2.03313,0,0,0,0,0,0
2.06646,0,0,0,0,0,0
2.09979,0,0,0,0,0,0
2.13312,0,0,0,0,0,0
2.16645,0,0,0,0,0,0
2.19978,0,0,0,0,0,0
2.23311,0,0,0,0,0,0
2.26644,0,0,0,0,0,0
2.29977,0,0,0,0,0,0
2.3331,0,0,0,0,0,0
2.36643,0,0,0,0,0,0
2.39976,0,0,0,0,0,0
2.43309,0,0,0,0,0,0
2.46642,0,0,0,0,0,0
2.49975,0,0,0,0,0,0
2.53308,0,0,0,0,0,0
2.56641,0,0,0,0,0,0
2.59974,0,0,0,0,0,0
2.63307,0,0,0,0,0,0
2.6664,0,0,0,0,0,0
2.69973,0,0,0,0,0,0
2.73306,0,0,0,0,0,0
2.76639,0,0,0,0,0,0
2.79972,0,0,0,0,0,0
2.83305,0,0,0,0,0,0
2.86638,0,0,0,0,0,0
2.89971,0,0,0,0,0,0
2.93304,0,0,0,0,0,0
2.96637,0,0,0,0,0,0
2.9997,0,0,0,0,0,0
3.03303,0,0,0,0,0,0
3.06636,0,0,0,0,0,0
3.09969,0,0,0,0,0,0
3.13302,0,0,0,0,0,0
3.16635,0,0,0,0,0,0
3.19968,0,0,0,0,0,0
3.23301,0,0,0,0,0,0
3.26634,0,0,0,0,0,0
3.29967,0,0,0,0,0,0
3.333,0,0,0,0,0,0
3.36633,0,0,0,0,0,0
3.39966,0,0,0,0,0,0
3.43299,0,0,0,0,0,0
3.46632,0,0,0,0,0,0
3.49965,0,0,0,0,0,0
3.53298,0,0,0,0,0,0
3.56631,0,0,0,0,0,0
3.59964,0,0,0,0,0,0
3.63297,0,0,0,0,0,0
3.6663,0,0,0,0,0,0
3.69963,0,0,0,0,0,0
3.73296,0,0,0,0,0,0
3.76629,0,0,0,0,0,0
3.79962,0,0,0,0,0,0
3.83295,0,0,0,0,0,0
3.86628,0,0,0,0,0,0
3.89961,0,0,0,0,0,0
3.93294,0,0,0,0,0,0
3.96627,0,0,0,0,0,0
3.9996,0,0,0,0,0,0
4.03293,0,0,0,0,0,0
4.06626,0,0,0,0,0,0
4.09959,0,0,0,0,0,0
4.13292,-0.00933,0,0,0,0,0
4.16625,-0.01975,0,0,0,0,0
4.19958,-0.03033,0,0,0,0,0
4.23291,-0.05116,0,0,0,0,0
4.26624,-0.07199,0,0,0,0,0
4.29957,-0.09282,0,0,0,0,0
4.3329,-0.11366,0,0,0,0,0
4.36623,-0.13449,0,0,0,0,0
4.39956,-0.15532,0,0,0,0,0
4.43289,-0.17615,0,0,0,0,0
4.46622,-0.19698,0,0,0,0,0
4.49955,-0.21781,0,0,0,0,0
4.53288,-0.23864,0,0,0,0,0
4.56621,-0.25947,0,0,0,0,0
4.59954,-0.28031,0,0,0,0,0
4.63287,-0.30114,0,0,0,0,0
4.6662,-0.32197,0,0,0,0,0
4.69953,-0.3428,0,0,0,0,0
4.73286,-0.36363,0,0,0,0,0
4.76619,-0.38446,0,0,0,0,0
4.79952,-0.40529,0,0,0,0,0
4.83285,-0.42612,0,0,0,0,0
4.86618,-0.44696,0,0,0,0,0
4.89951,-0.46779,0,0,0,0,0
4.93284,-0.48862,0,0,0,0,0
4.96617,-0.50945,0,0,0,0,0
4.9995,-0.53028,0,0,0,0,0
5.03283,-0.55111,0,0,0,0,0
5.06616,-0.57194,0,0,0,0,0
5.09949,-0.59277,0,0,0,0,0
5.13282,-0.61361,0,0,0,0,0
5.16615,-0.63444,0,0,0,0,0
5.19948,-0.65527,0,0,0,0,0
5.23281,-0.6761,0,0,0,0,0
5.26614,-0.69693,0,0,0,0,0
5.29947,-0.71776,0,0,0,0,0
5.3328,-0.73859,0,0,0,0,0
5.36613,-0.75943,0,0,0,0,0
5.39946,-0.78026,0,0,0,0,0
5.43279,-0.80109,0,0,0,0,0
5.46612,-0.82192,0,0,0,0,0
5.49945,-0.84275,0,0,0,0,0
5.53278,-0.86358,0,0,0,0,0
5.56611,-0.88441,0,0,0,0,0
5.59944,-0.90524,0,0,0,0,0
5.63277,-0.91804,0,0,0,0,0
5.6661,-0.93691,0,0,0,0,0
5.69943,-0.95774,0,0,0,0,0
5.73276,-0.97857,0,0,0,0,0
5.76609,-0.9994,0,0,0,0,0
5.79942,-1.02023,0,0,0,0,0
5.83275,-1.04106,0,0,0,0,0
5.86608,-1.06189,0,0,0,0,0
5.89941,-1.08273,0,0,0,0,0
5.93274,-1.10356,0,0,0,0,0
5.96607,-1.12439,0,0,0,0,0
5.9994,-1.14522,0,0,0,0,0
6.03273,-1.16605,0,0,0,0,0
6.06606,-1.18688,0,0,0,0,0
6.09939,-1.20771,0,0,0,0,0
6.13272,-1.22854,0,0,0,0,0
6.16605,-1.24937,0,0,0,0,0
6.19938,-1.27021,0,0,0,0,0
6.23271,-1.29104,0,0,0,0,0
6.26604,-1.31187,0,0,0,0,0
6.29937,-1.3327,0,0,0,0,0
6.3327,-1.35353,0,0,0,0,0
6.36603,-1.37436,0,0,0,0,0
6.39936,-1.39519,0,0,0,0,0
6.43269,-1.41602,0,0,0,0,0
6.46602,-1.43686,0,0,0,0,0
6.49935,-1.45769,0,0,0,0,0
6.53268,-1.47852,0,0,0,0,0
6.56601,-1.49935,0,0,0,0,0
6.59934,-1.52018,0,0,0,0,0
6.63267,-1.54101,0,0,0,0,0
6.666,-1.56184,0,0,0,0,0
6.69933,-1.58267,0,0,0,0,0
6.73266,-1.60351,0,0,0,0,0
6.76599,-1.62434,0,0,0,0,0
6.79932,-1.64517,0,0,0,0,0
6.83265,-1.666,0,0,0,0,0
6.86598,-1.68683,0,0,0,0,0
6.89931,-1.70766,0,0,0,0,0
6.93264,-1.72849,0,0,0,0,0
6.96597,-1.74932,0,0,0,0,0
6.9993,-1.77016,0,0,0,0,0
7.03263,-1.79099,0,0,0,0,0
7.06596,-1.81182,0,0,0,0,0
7.09929,-1.83265,0,0,0,0,0
7.13262,-1.85348,0,0,0,0,0
7.16595,-1.87431,0,0,0,0,0
7.19928,-1.89514,0,0,0,0,0
7.23261,-1.91598,0,0,0,0,0
7.26594,-1.93681,0,0,0,0,0
7.29927,-1.95764,0,0,0,0,0
7.3326,-1.97847,0,0,0,0,0
7.36593,-1.9993,0,0,0,0,0
7.39926,-2.02013,0,0,0,0,0
7.43259,-2.04096,0,0,0,0,0
7.46592,-2.06179,0,0,0,0,0
7.49925,-2.08263,0,0,0,0,0
7.53258,-2.10346,0,0,0,0,0
7.56591,-2.12429,0,0,0,0,0
7.59924,-2.14512,0,0,0,0,0
7.63257,-2.16595,0,0,0,0,0
7.6659,-2.18678,0,0,0,0,0
7.69923,-2.20761,0,0,0,0,0
7.73256,-2.22844,0,0,0,0,0
7.76589,-2.24928,0,0,0,0,0
7.79922,-2.27011,0,0,0,0,0
7.83255,-2.29094,0,0,0,0,0
7.86588,-2.31177,0,0,0,0,0
7.89921,-2.3326,0,0,0,0,0
7.93254,-2.35343,0,0,0,0,0
7.96587,-2.37426,0,0,0,0,0
7.9992,-2.39509,0,0,0,0,0
8.03253,-2.41592,0,0,0,0,0
8.06586,-2.43676,0,0,0,0,0
8.09919,-2.45759,0,0,0,0,0
8.13252,-2.46921,0,0,0,0,0
8.16585,-2.48925,0,0,0,0,0
8.19918,-2.51008,0,0,0,0,0
8.23251,-2.53091,0,0,0,0,0
8.26584,-2.55174,0,0,0,0,0
8.29917,-2.57257,0,0,0,0,0
8.3325,-2.59341,0,0,0,0,0
8.36583,-2.61424,0,0,0,0,0
8.39916,-2.63507,0,0,0,0,0
8.43249,-2.6559,0,0,0,0,0
8.46582,-2.67673,0,0,0,0,0
8.49915,-2.69756,0,0,0,0,0
8.53248,-2.71839,0,0,0,0,0
8.56581,-2.73922,0,0,0,0,0
8.59914,-2.76006,0,0,0,0,0
8.63247,-2.77544,0,0,0,0,0
8.6658,-2.78,0,0,0,0,0
8.69913,-2.78627,0,0,0,0,0
8.73246,-2.79,0,0,0,0,0
8.76579,-2.78289,0,0,0,0,0
8.79912,-2.78,0,0,0,0,0
8.83245,-2.76412,0,0,0,0,0
8.86578,-2.75165,0,0,0,0,0
8.89911,-2.73246,0,0,0,0,0
8.93244,-2.71163,0,0,0,0,0
8.96577,-2.6908,0,0,0,0,0
8.9991,-2.66997,0,0,0,0,0
9.03243,-2.64914,0,0,0,0,0
9.06576,-2.62831,0,0,0,0,0
9.09909,-2.60748,0,0,0,0,0
9.13242,-2.58664,0,0,0,0,0
9.16575,-2.56581,0,0,0,0,0
9.19908,-2.54498,0,0,0,0,0
9.23241,-2.52415,0,0,0,0,0
9.26574,-2.50332,0,0,0,0,0
9.29907,-2.48249,0,0,0,0,0
9.3324,-2.46166,0,0,0,0,0
9.36573,-2.44083,0,0,0,0,0
9.39906,-2.41999,0,0,0,0,0
9.43239,-2.39916,0,0,0,0,0
9.46572,-2.37833,0,0,0,0,0
9.49905,-2.3575,0,0,0,0,0
9.53238,-2.33667,0,0,0,0,0
9.56571,-2.31584,0,0,0,0,0
9.59904,-2.29501,0,0,0,0,0
9.63237,-2.27417,0,0,0,0,0
9.6657,-2.25334,0,0,0,0,0
9.69903,-2.23251,0,0,0,0,0
9.73236,-2.21168,0,0,0,0,0
9.76569,-2.19085,0,0,0,0,0
9.79902,-2.17002,0,0,0,0,0
9.83235,-2.14919,0,0,0,0,0
9.86568,-2.12836,0,0,0,0,0
9.89901,-2.10753,0,0,0,0,0
9.93234,-2.08669,0,0,0,0,0
9.96567,-2.06586,0,0,0,0,0
9.999,-2.04503,0,0,0,0,0
10.03233,-2.0242,0,0,0,0,0
10.06566,-2.00668,0,0,0,0,0
10.09899,-1.99254,0,0,0,0,0
10.13232,-1.97171,0,0,0,0,0
10.16565,-1.95088,0,0,0,0,0
10.19898,-1.93004,0,0,0,0,0
10.23231,-1.90921,0,0,0,0,0
10.26564,-1.88838,0,0,0,0,0
10.29897,-1.86755,0,0,0,0,0
10.3323,-1.84672,0,0,0,0,0
10.36563,-1.82589,0,0,0,0,0
10.39896,-1.80506,0,0,0,0,0
10.43229,-1.78423,0,0,0,0,0
10.46562,-1.76339,0,0,0,0,0
10.49895,-1.74256,0,0,0,0,0
10.53228,-1.72173,0,0,0,0,0
10.56561,-1.7009,0,0,0,0,0
10.59894,-1.68007,0,0,0,0,0
10.63227,-1.65924,0,0,0,0,0
10.6656,-1.63841,0,0,0,0,0
10.69893,-1.61758,0,0,0,0,0
10.73226,-1.59674,0,0,0,0,0
10.76559,-1.57591,0,0,0,0,0
10.79892,-1.55508,0,0,0,0,0
10.83225,-1.53425,0,0,0,0,0
10.86558,-1.51342,0,0,0,0,0
10.89891,-1.49259,0,0,0,0,0
